Date,ESP Jake,TOX Potts Point,TOX Basin Point,TOX Lumbos Hole,ESP Don,TOX York River,TOX Ogunquit,ESP Dennis,TOX Head Beach,TOX Christmas Cove,TOX Port Clyde
3/31/14,,0.156856192,0.120378008,0.1,,,,,0.755868932,,
4/7/14,,0.293571333,0.404555617,0.5,,,0.3,,0,,
4/14/14,,9.940414167,6.474353196,7.4,,,8.8,,9.242869375,,
4/21/14,,7.498424447,9.050015701,7.0,,,1.0,,8.601443588,,
4/28/14,,8.777883204,13.16232117,16.5,,,2.2,,7.044041589,,
5/2/14,0,,,,0,,,,,,
5/3/14,,,,,141,,,0,,,
5/4/14,,,,,280,,,,,,
5/5/14,43,0.616026261,6.063091494,31.7,359,9.6,11.2,0,5.719670775,1.546549768,7.977147704
5/6/14,0,,,,0,,,117,,,
5/7/14,0,,,,337,,,150,,,
5/8/14,,,,,398,,,0,,,
5/9/14,0,,,,0,,,141,,,
5/12/14,0,18.65864057,8.423888726,78.0,0,8,32.6,0,1.008515627,24.77262903,0.959807869
5/13/14,,,,,422,,,158,,,
5/14/14,0,,,,581,,,236,,,
5/15/14,,,,,0,,,0,,,
5/16/14,216,,,,0,,,0,,,
5/19/14,262,9.397347892,22.12071617,71.6,0,9.8,9.6,0,9.378305898,19.1126021,17.28212112
5/20/14,318,,,,0,,,262,,,
5/21/14,1679,,,,1662,,,0,,,
5/22/14,904,,,,1512,,,0,,,
5/23/14,425,,,,1488,,,327,,,
5/26/14,126,104.6,106.8,149.1,0,33,58.0,314,85.4,30.6,16.2
5/27/14,,,,,822,,,395,,,
5/28/14,499,,,,1024,,,,,,
5/29/14,,,,,,,,324,,,
5/30/14,392,,,,575,,,261,,,
6/2/14,1131,97.3,73.44117506,419.1,1112,88.3,118.7,341,106.7040986,58.0060984,32.34131058
6/3/14,,,,,895,,,277,,,
6/4/14,392,,,,446,,,540,,,
6/5/14,,,,,2189,,,701,,,
6/6/14,298,,,,1729,,,0,,,
6/9/14,1050,90.74843897,119.9506167,251.2,1139,118.9,172.5,407,151.4513091,42.04099212,63.50605754
6/10/14,,,,,801,,,419,,,
6/11/14,772,,,,611,,,373,,,
6/12/14,,,,,0,,,1470,,,
6/13/14,479,,,,945,,,766,,,
6/16/14,0,36.28736955,34.09788478,124.7,0,56.4,81.5,,35.66687424,38.42219075,57.52999027
6/17/14,236,,,,0,,,,,,
6/18/14,0,,,,,,,,,,
6/19/14,0,,,,,,,,,,
6/20/14,0,,,,,,,,,,
6/23/14,,34.09010176,32.35003171,34.4,,,30.9,,33.79579655,4.290786503,11.25425579
6/30/14,,38.6,10.89923224,25.5,,,8.9,,27.7,6,33.4